Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>>>	WO 33/1/1855/53	Paper number 53			Papers relating to Vienna conference. ¶ Missing from volume - but accessioned as WO 33/1/7 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215595
>>>>>>>	WO 33/1/1855/54	Paper number 54			Transport at Balaklava. ¶ Missing from volume - but accessioned as WO 33/1/8 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215596
>>>>>>>	WO 33/1/1855/55	Paper number 55			Memorandum on the transport of supplies for the Russian army from Perecop to Simerophol, etc. Brevet Major J. McCaskill	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215597
>>>>>>>	WO 33/1/1855/56	Paper number 56			Report on the construction of wrought iron rifled field guns, adapted for elongated projectiles, by W.G. Armstrong, F.R.S.	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215598
>>>>>>>	WO 33/1/1855/57	Paper number 57			Sir H Rawlinson on a campaign in Crimea. ¶ Missing at transfer	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215599
>>>>>>>	WO 33/1/1855/59	Paper number 59			Observations by Brevet Major J. McCaskill on the difficulty of obtaining supplies for the Russian army in the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215600
>>>>>>>	WO 33/1/1855/60	Paper number 60			Statement of the Engineer Force, Turkish Contingent, sums expended etc.: By Major J. Stokes	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215601
>>>>>>>	WO 33/1/1855/61	Paper number 61			Correspondence and reports on the bell tents designed by Sir Joseph Paxton	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215602
>>>>>>>	WO 33/1/1855/62	Paper number 62			Papers relative to a uniform horse equipment for the cavalry	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215603
>>>>>>>	WO 33/1/1855/63	Paper number 63			Mr Buchanan to Lord Clarendon 30th Aug. 1855. ¶ Missing from volume - but accessioned as WO 33/1/9 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215604
>>>>>>>	WO 33/1/1855/64	Paper number 64			Suggestions connected with the organisation of civil departments in the army	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215605
>>>>>>>	WO 33/1/1855/65	Paper number 65			Reports on trials and experiments with electric light and with Bude and Lime lights	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215606
>>>>>>>	WO 33/1/1855/66	Paper number 66			Report on Soyer's field kitchen	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215607
>>>>>>>	WO 33/1/1855/67	Paper number 67			Lord Panmure to General Sir William John Codrington on appointment of General Sir W.J. Codrington to command of the army in the East, and reorganization of the army into two corps	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215608
>>>>>>>	WO 33/1/1855/68	Paper number 68			Correspondence relating to the Anglo-French division of trophies, booty and material, captured from the Russians in the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215609
>>>>>>>	WO 33/1/1855/69	Paper number 69			Report of the Committee on Tents, etc. re-assembled by order of the Quartermaster General of the Forces, to report upon waterproof articles for the soldiers	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215610
>>>>>>>	WO 33/1/1855/70	Paper number 70			Mr Smith on cash, stores and provisions for army service. ¶ Missing from volume - but accessioned as WO 33/1/10 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215611
>>>>>>>	WO 33/1/1855/72	Paper number 72			Correspondence relative to defence of Kars	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215612
>>>>>>>	WO 33/1/1855/73	Paper number 73			Lord Panmure to Count Zamoyski on formation of Cossacks of the SULTAN	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215613
>>>>>>>	WO 33/1/1855/74	Paper number 74			Memorandum relative to purchase and price of horses in Austria and Hungary, and transmission to Turkey	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215614
>>>>>>>	WO 33/1/1855/78	Paper number 78			Reports from General Simpson to Lord Panmure on the unsuccessful attack on the Redan	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215615
>>>>>>>	WO 33/1/1	Paper number 6-54			Treasury minute on the transfer of the Commissariat to the War Department	1854 Dec 22	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670377
>>>>>>>	WO 33/1/2	Paper number 5-55			Observations with reference to the employment of the armament about to be sent to the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670378
>>>>>>>	WO 33/1/3	Paper number 11-55			Memorandum on the commerical relations of the United Kingdom with Russia and Turkey respectively, as bearing upon the question of the present war with Russia, and its probable effects on British commerce, whether under the existing regulations as to neutral trade or any modification of them	1855 Feb	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670379
>>>>>>>	WO 33/1/4	Paper number 19-55			Recruiting in British North America: No. 1 and No. 2	1855 Jan, 1855 Mar	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670380
>>>>>>>	WO 33/1/5	Paper number 46-55			Report from an official committee on barrack accommodation for the army: with the minutes of evidence and appendix. With plans	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670381
>>>>>>>	WO 33/1/6	Paper number 50-55			Papers on the Vienna Conference	1855 June 29	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670382
>>>>>>>	WO 33/1/7	Paper number 53-55			Papers relating to the Vienna Conference	1855 July 14	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670383
>>>>>>>	WO 33/1/8	Paper number 54-55			Transport at Balaklava. With drawing	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670384
>>>>>>>	WO 33/1/9	Paper number 63-55			Mr Buchanan to Lord Clarendon, 30 August 1855	1855 Sept 3	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670385
>>>>>>>	WO 33/1/10	Paper number 70-55			Mr Smith, Accountant-General's Office, on cash, stores and provisions for army service	1855 Nov 12	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C16670386
>>>>>> 	WO 33/2A				Papers, 1856. (Described at item level). ¶ Papers 10-50 are included in both WO 33/2A and WO 33/3A	1856	 		For item/s extracted from this piece see		Open Document, Open Description	Normal Closure before FOI Act: 	30		C1202571
>>>>>>>	WO 33/2A/1856/1-9	Paper number 1-9			Russian War: Collected Military Correspondence. Papers 1-9 missing from volume - but papers 1 and 4-9 accessioned as WO 33/2A/1-7 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215616
>>>>>>>	WO 33/2A/1856/10	Paper number 10			Prussian Organic Formations and Institutions	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215617
>>>>>>>	WO 33/2A/1856/11	Paper number 11			Remarks on Prussian Military Formations and Institutions	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215618
>>>>>>>	WO 33/2A/1856/12	Paper number 12			Correspondence on General Williams' Mission to Kars. ¶ Missing from volume - but accessioned as WO 33/2A/8 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215619
>>>>>>>	WO 33/2A/1856/13	Paper number 13			Sir G Grey on the provisions of a proposed General Police Bill. ¶ Missing from volume - but accessioned as WO 33/2A/9 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215620
>>>>>>>	WO 33/2A/1856/15	Paper number 15			Supplement to a report made at the Seat of War on reduction of hospitals at Smyrna and Kulalie	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215621
